name,stop_id,Category,Location,Sub Location,Description,Sub Description,Item,Finding,On Site Finding,Recommendation,Recommended Value,Deviation,Measure Units,Costing Info,Estimated Cost,Notes,Code Reference,Priority,Progress,Resolution,Projected Completion Date,Actual Completion Date,Actual Cost,Comments,Contractor,Landlord/Owner,Tenant,Both,Assignment,stop_lat,stop_lon,Designated Staff
"GCS007 - Church Street at Neal Street - Church Street at Neal Street
Grass Valley, CA 95945",19745,Bus Stops,Exterior,,"Bus Stop @ 39.217789418824, -121.063861548901",,Bus Stop Pad Length,Bus stop pad is not compliant.,71.50 inches,Provide a compliant bus stop pad.,At least 96.00 inches,-24.50,inches,,"$3,168.00",,ADA 810,Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,39.217789418824,-121.063861548901,
"GCS007 - Church Street at Neal Street - Church Street at Neal Street
Grass Valley, CA 95945",18948,Bus Stops,Exterior,,"Bench @ 39.217789418824, -121.063861548901",,Clear Floor Space,There is no clear floor space located next to bench.,Not Found,Provide compliant clear floor space next to the bench.,See Recommendation,,,,,,ADA 903,Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,39.217789418824,-121.063861548901,
"GCS007 - Church Street at Neal Street - Church Street at Neal Street
Grass Valley, CA 95945",18947,Bus Stops,Exterior,,"Shelter @ 39.217789418824, -121.063861548901",,Clear Floor Space Length,Clear floor space within the bus stop shelter is not compliant.,40.00 inches,Provide compliant clear floor space in the shelter.,At least 48.00 inches,-8.00,inches,,,,ADA 305,Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,39.217789418824,-121.063861548901,
"GCS009 - Combie Road at Lake Center - Northbound - Combie Road at Lake Center
Lake of the Pines, CA 95602",24978,Pole Stops,Exterior,,Pole Stop,,Length,The length of the boarding pad/landing area is not compliant.,59.00 inches,Provide a compliant boarding pad/landing area.,At least 96.00 inches,-37.00,inches,,,,"ADA 810.2.2, R308.1.1.1",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,,,
"GCS010 - Crown Point Circle at Nevada County Behavioral Health - Crown Point Circle at Nevada County Behavioral Health
Grass Valley, CA 95945",24452,Pole Stops,Exterior,,"Pole Stop @ 39.220110547391, -121.028845310211",,Information Post,The information post is not located on an accessible route.,Not Found,Make sure the information post is on an accessible route.,See Recommendation,,,,,,"ADA 402,  CA 11B-810",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,39.220110547391,-121.028845310211,
"GCS010 - Crown Point Circle at Nevada County Behavioral Health - Crown Point Circle at Nevada County Behavioral Health
Grass Valley, CA 95945",24453,Pole Stops,Exterior,,"Pole Stop @ 39.220110547391, -121.028845310211",,Boarding Pad,No bus boarding pad/landing area is provided.,Not Found,Provide a compliant bus boarding pad/landing area.,See Recommendation,,,,,,"ADA 810.2, R213, R308.1,  CA 11B-810.2",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,39.220110547391,-121.028845310211,
"GCS010 - Crown Point Circle at Nevada County Behavioral Health - Crown Point Circle at Nevada County Behavioral Health
Grass Valley, CA 95945",24979,Pole Stops,Exterior,,"Pole Stop @ 39.220110547391, -121.028845310211",,Visibility,The Timetable/Schedule/Map information is not visible from the sidewalk.,Not Visible,Provide Timetable/Schedule/Map information signage that is visible from the sidewalk.,See Recommendation,,,,$158.00,,"ADA 810.4, R211",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,39.220110547391,-121.028845310211,
"GCS011 - Dorsey Drive at Segsworth Way - Dorsey Drive at Segsworth Way
Grass Valley, CA 95945",24981,Benches,Exterior,,"Bench Next to Pole Stop @ 39.230445599060, -121.044858098030",,Clear Floor Space Slope,Clear floor space slope is not compliant for the bench.,2.20 percent,Provide compliant clear floor space at the bench.,Up to 2.08 percent,0.12,percent,,"$1,840.00",,"ADA 305, 903.2 ,  CA 11B-903.2",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,39.230445599060,-121.044858098030,
"GCS011 - Dorsey Drive at Segsworth Way - Dorsey Drive at Segsworth Way
Grass Valley, CA 95945",24980,Pole Stops,Exterior,,Pole Stop,,Length,The length of the boarding pad/landing area is not compliant.,95.50 inches,Provide a compliant boarding pad/landing area.,At least 96.00 inches,-0.50,inches,,,,"ADA 810.2.2, R308.1.1.1",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,,,
"GCS014 - East Main Street at East Berryhill Drive - East Main Street at East Berryhill Drive
Grass Valley, CA 95945",24422,Benches,Exterior,,"Bench Next to Poke Stop @ 39.224773352598, -121.053875684738",,Clear Floor Space,No clear floor space provided at the bench.,Not Found,Provide compliant clear floor space for the bench at one end.,See Recommendation,,,,"$1,840.00",,"ADA 206, 305, 903.2 ,  CA 11B-206, 305, 903.2",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,39.224773352598,-121.053875684738,
"GCS014 - East Main Street at East Berryhill Drive - East Main Street at East Berryhill Drive
Grass Valley, CA 95945",24421,Pole Stops,Exterior,,Pole Stop,,Cross Slope,The cross slope of the boarding pad/landing area is not compliant.,2.20 percent,Provide a compliant cross slope.,Up to 2.08 percent,0.12,percent,,,,"ADA 810.2.4, R308.1.1.2",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,,,
"GCS014 - East Main Street at East Berryhill Drive - East Main Street at East Berryhill Drive
Grass Valley, CA 95945",24982,Pole Stops,Exterior,,Pole Stop,,Length,The length of the boarding pad/landing area is not compliant.,54.00 inches,Provide a compliant boarding pad/landing area.,At least 96.00 inches,-42.00,inches,,,,"ADA 810.2.2, R308.1.1.1",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,,,
"GCS015 - East Main at Eureka Street - East Main at Eureka Street
Grass Valley, CA 95945",24418,Pole Stops,Exterior,,Pole Stop,,Cross Slope,The cross slope of the boarding pad/landing area is not compliant.,5.10 percent,Provide a compliant cross slope.,Up to 2.08 percent,3.02,percent,,,,"ADA 810.2.4, R308.1.1.2",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,,,
"GCS015 - East Main at Eureka Street - East Main at Eureka Street
Grass Valley, CA 95945",24983,Pole Stops,Exterior,,Pole Stop,,Length,The length of the boarding pad/landing area is not compliant.,54.50 inches,Provide a compliant boarding pad/landing area.,At least 96.00 inches,-41.50,inches,,,,"ADA 810.2.2, R308.1.1.1",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,,,
"GCS016 - East Main Street at Grass Valley City Hall - East Main Street at Grass Valley City Hall
Grass Valley, CA 95945",24416,Pole Stops,Exterior,,Pole Stop,,Cross Slope,The cross slope of the boarding pad/landing area is not compliant.,4.50 percent,Provide a compliant cross slope.,Up to 2.08 percent,2.42,percent,,,,"ADA 810.2.4, R308.1.1.2",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,,,
"GCS017 - East Main Street at Idaho-Maryland Road - West Main Street at Idaho-Maryland Road
Grass Valley, CA 95945",24984,Benches,Exterior,,"Bench Next to Pole Stop @ 39.222284068214, -121.053816676140",,Clear Floor Space,No clear floor space provided at the bench.,Not Found,Provide compliant clear floor space for the bench at one end.,See Recommendation,,,,"$1,840.00",,"ADA 206, 305, 903.2 ,  CA 11B-206, 305, 903.2",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,39.222284068214,-121.053816676140,
"GCS017 - East Main Street at Idaho-Maryland Road - West Main Street at Idaho-Maryland Road
Grass Valley, CA 95945",24985,Pole Stops,Exterior,,Pole Stop,,Length,The length of the boarding pad/landing area is not compliant.,57.50 inches,Provide a compliant boarding pad/landing area.,At least 96.00 inches,-38.50,inches,,,,"ADA 810.2.2, R308.1.1.1",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,,,
"GCS017 - East Main Street at Idaho-Maryland Road - West Main Street at Idaho-Maryland Road
Grass Valley, CA 95945",24428,Pole Stops,Exterior,,Pole Stop,,Cross Slope,The cross slope of the boarding pad/landing area is not compliant.,3.00 percent,Provide a compliant cross slope.,Up to 2.08 percent,0.92,percent,,,,"ADA 810.2.4, R308.1.1.2",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,,,
"GCS018 - East Main Street at Main Street Professional Center - East Main Street at Main Street Professional Center
Grass Valley, CA 95945",24430,Pole Stops,Exterior,,Pole Stop,,Cross Slope,The cross slope of the boarding pad/landing area is not compliant.,3.40 percent,Provide a compliant cross slope.,Up to 2.08 percent,1.32,percent,,,,"ADA 810.2.4, R308.1.1.2",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,,,
"GCS018 - East Main Street at Main Street Professional Center - East Main Street at Main Street Professional Center
Grass Valley, CA 95945",24986,Pole Stops,Exterior,,Pole Stop,,Length,The length of the boarding pad/landing area is not compliant.,59.25 inches,Provide a compliant boarding pad/landing area.,At least 96.00 inches,-36.75,inches,,,,"ADA 810.2.2, R308.1.1.1",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,,,
"GCS019 - East Main Street at West Berryhill Drive - East Main Street at West Berryhill Drive
Grass Valley, CA 95945",24989,Benches,Exterior,,"Benches Next to Pole Stop @ 39.224798286552, -121.054074168205",,Clear Floor Space,No clear floor space provided at the bench.,Not Found,Provide compliant clear floor space for the bench at one end.,See Recommendation,,,,"$1,840.00",,"ADA 206, 305, 903.2 ,  CA 11B-206, 305, 903.2",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,39.224798286552,-121.054074168205,
"GCS019 - East Main Street at West Berryhill Drive - East Main Street at West Berryhill Drive
Grass Valley, CA 95945",24988,Pole Stops,Exterior,,Pole Stop,,Slope,The slope of the boarding pad/landing area is not the same as the street.,Not Compliant,Provide a compliant slope.,See Recommendation,,,,,,"ADA 810.2.4, R308.1.1.2",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,,,
"GCS019 - East Main Street at West Berryhill Drive - East Main Street at West Berryhill Drive
Grass Valley, CA 95945",24987,Pole Stops,Exterior,,Pole Stop,,Length,The length of the boarding pad/landing area is not compliant.,60.00 inches,Provide a compliant boarding pad/landing area.,At least 96.00 inches,-36.00,inches,,,,"ADA 810.2.2, R308.1.1.1",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,,,
"GCS020 - Freeman Lane at Pine Creek Center - Freeman Lane at Pine Creek Center
Grass Valley, CA 95945",19973,Bus Stops,Exterior,,"Bus Stop @ 39.202221120601, -121.063837409019",,Bus Stop Pad Length,Bus stop pad is not compliant.,80.00 inches,Provide a compliant bus stop pad.,At least 96.00 inches,-16.00,inches,,"$3,168.00",,ADA 810,Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,39.202221120601,-121.063837409019,
"GCS020 - Freeman Lane at Pine Creek Center - Freeman Lane at Pine Creek Center
Grass Valley, CA 95945",18984,Bus Stops,Exterior,,"Bench @ 39.202221120601, -121.063837409019",,Clear Floor Space,There is no clear floor space located next to bench.,Not Found,Provide compliant clear floor space next to the bench.,See Recommendation,,,,,,ADA 903,Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,39.202221120601,-121.063837409019,
"GCS020 - Freeman Lane at Pine Creek Center - Freeman Lane at Pine Creek Center
Grass Valley, CA 95945",18982,Bus Stops,Exterior,,"Shelter @ 39.202221120601, -121.063837409019",,Clear Floor Space Length,Clear floor space within the bus stop shelter is not compliant.,34.00 inches,Provide compliant clear floor space in the shelter.,At least 48.00 inches,-14.00,inches,,,,ADA 305,Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,39.202221120601,-121.063837409019,
"GCS020 - Freeman Lane at Pine Creek Center - Freeman Lane at Pine Creek Center
Grass Valley, CA 95945",18983,Bus Stops,Exterior,,"Shelter @ 39.202221120601, -121.063837409019",,Clear Floor Space,Clear floor space is not located entirely within the shelter.,Not Located,Clear floor space shall be located entirely within the shelter.,See Recommendation,,,,,,ADA 305,Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,39.202221120601,-121.063837409019,
"GCS021 - Glasson Way at Diagnostic Center Sierra Nevada Memorial Hospital - Glasson Way at Diagnostic Center Sierra Nevada Memorial Hospital
Grass Valley, CA 95945",24456,Bus Stops,Exterior,,"Bench @ 39.225961861249, -121.050517559052",,Clear Floor Space,There is no clear floor space located next to bench.,Not Found,Provide compliant clear floor space next to the bench.,See Recommendation,,,,,,ADA 903,Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,39.225961861249,-121.050517559052,
"GCS022 - Glasson Way at Main Entrance Sierra Nevada Memorial Hospital - Glasson Way at Main Entrance Sierra Nevada Memorial Hospital
Grass Valley, CA 95945",24990,Benches,Exterior,,"Bench Next to Pole Stop @ 39.227565900455, -121.046816110611",,Clear Floor Space Width,Clear floor space width is not compliant for the bench.,28.50 inches,Provide compliant clear floor space at the bench.,At least 30.00 inches,-1.50,inches,,"$1,840.00",,"ADA 305, 903.2",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,39.227565900455,-121.046816110611,
"GCS022 - Glasson Way at Main Entrance Sierra Nevada Memorial Hospital - Glasson Way at Main Entrance Sierra Nevada Memorial Hospital
Grass Valley, CA 95945",24457,Pole Stops,Exterior,,"Pole Stop @ 39.227565900455, -121.046816110611",,Missing,Pole missing or damaged at time of inspection.,Not Found,Provide a compliant pole stop.,See Recommendation,,,,,,"ADA 810.4, R211",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,39.227565900455,-121.046816110611,
"GCS023 - Higgins Road at Higgins Village - Southbound - Higgins Road at Higgins Village
Auburn, CA 95604",24945,Pole Stops,Exterior,,"Pole Stop @ 39.042627874370, -121.092123985291",,Missing,Pole missing or damaged at time of inspection.,Not Found,Provide a compliant pole stop.,See Recommendation,,,,,,"ADA 810.4, R211",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,39.042627874370,-121.092123985291,
"GCS024 - Hughes Road at Rockwood Drive - Hughes Road at Rockwood Drive
Grass Valley, CA 95945",24992,Benches,Exterior,,"Bench Next to Pole Stop @ 39.229115882787, -121.055141687393",,Clear Floor Space,No clear floor space provided at the bench.,Not Found,Provide compliant clear floor space for the bench at one end.,See Recommendation,,,,"$1,840.00",,"ADA 206, 305, 903.2 ,  CA 11B-206, 305, 903.2",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,39.229115882787,-121.055141687393,
"GCS024 - Hughes Road at Rockwood Drive - Hughes Road at Rockwood Drive
Grass Valley, CA 95945",24991,Pole Stops,Exterior,,Pole Stop,,Length,The length of the boarding pad/landing area is not compliant.,59.87 inches,Provide a compliant boarding pad/landing area.,At least 96.00 inches,-36.13,inches,,,,"ADA 810.2.2, R308.1.1.1",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,,,
"GCS025 - Forest Springs Drive at Forest Springs Mobilehome Community - Southbound - Forest Springs Drive at Forest Springs Mobilehome Community
Grass Valley, CA 95945",24681,Pole Stops,Exterior,,"Pole Stop @ 39.155659831172, -121.062995195389",,Missing,Pole missing or damaged at time of inspection.,Not Found,Provide a compliant pole stop.,See Recommendation,,,,,,"ADA 810.4, R211",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,39.155659831172,-121.062995195389,
"GCS027 - Manzanita Avenue at Mt Air Mobile Park - Southbound - Manzanita Avenue at Mountainair Mobile Park
Grass Valley, CA 95945",24534,Pole Stops,Exterior,,"Pole Stop @ 39.160597279708, -121.059781908989",,Visibility,The Timetable/Schedule/Map information is not visible from the sidewalk.,Not Visible,Provide Timetable/Schedule/Map information signage that is visible from the sidewalk.,See Recommendation,,,,$158.00,,"ADA 810.4, R211",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,39.160597279708,-121.059781908989,
"GCS027 - Manzanita Avenue at Mt Air Mobile Park - Southbound - Manzanita Avenue at Mountainair Mobile Park
Grass Valley, CA 95945",24993,Pole Stops,Exterior,,Pole Stop,,Length,The length of the boarding pad/landing area is not compliant.,80.00 inches,Provide a compliant boarding pad/landing area.,At least 96.00 inches,-16.00,inches,,,,"ADA 810.2.2, R308.1.1.1",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,,,
"GCS028 - John Bauer Avenue at Gold Country Stage Transit - John Bauer Avenue at Gold Country Stage Transit
Grass Valley, CA 95945",24537,Reach Ranges,Exterior,,Trash Can,Trash Receptacle,Clear Floor Space Slope,The clear floor space slope is not compliant.,2.40 percent,Provide compliant clear floor space.,Up to 2.08 percent,0.32,percent,Redesign space,$500.00,,"ADA 304,  CA 11B-305.2",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,,,
"GCS028 - John Bauer Avenue at Gold Country Stage Transit - John Bauer Avenue at Gold Country Stage Transit
Grass Valley, CA 95945",24538,Reach Ranges,Exterior,,Trash Can,Trash Receptacle,Operable with one hand,Element controls are non accessible.,None Found,Provide compliant controls for the element.,See Recommendation,,,,$500.00,,"ADA 205, 302, 308, 309, 410,  CA 11B-309.4",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,,,
"GCS028 - John Bauer Avenue at Gold Country Stage Transit - John Bauer Avenue at Gold Country Stage Transit
Grass Valley, CA 95945",24994,Benches,Exterior,,"Bench Next to Pole Stop @ 39.222737049739, -121.004887819290",,Clear Floor Space,No clear floor space provided at the bench.,Not Found,Provide compliant clear floor space for the bench at one end.,See Recommendation,,,,"$1,840.00",,"ADA 206, 305, 903.2 ,  CA 11B-206, 305, 903.2",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,39.222737049739,-121.004887819290,
"GCS029 - Little Valley Road at Forever Flowering - Little Valley Road at Forever Flowering
Alta Sierra, CA 95949",24844,Pole Stops,Exterior,,"Pole Stop @ 39.146320575490, -121.069046258926",,Missing,Pole missing or damaged at time of inspection.,Not Found,Provide a compliant pole stop.,See Recommendation,,,,,,"ADA 810.4, R211",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,39.146320575490,-121.069046258926,
"GCS029 - Little Valley Road at Forever Flowering - Little Valley Road at Forever Flowering
Alta Sierra, CA 95949",24845,Pole Stops,Exterior,,Pole Stop,,Accessible Route,The boarding pad/landing area is not located on an accessible route.,Not Compliant,Make sure the boarding pad/landing area is on an accessible route.,See Recommendation,,,,,,"ADA 810.2.3, R308.1.1.2",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,,,
"GCS030 - Litton Drive at Litton Building - Litton Drive at Litton Building
Grass Valley, CA 95945",24684,Pole Stops,Exterior,,"Pole Stop @ 39.234081413356, -121.055935621262",,Missing,Pole missing or damaged at time of inspection.,Not Found,Provide a compliant pole stop.,See Recommendation,,,,,,"ADA 810.4, R211",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,39.234081413356,-121.055935621262,
"GCS031 - Little Valley Road at Grass Valley Mobilehome Village - Little Valley Road at Grass Valley Mobilehome Village
Alta Sierra, CA 95949",24996,Benches,Exterior,,"Bench Next to Pole Stop @ 39.147219194733, -121.068531274796",,Clear Floor Space,No clear floor space provided at the bench.,Not Found,Provide compliant clear floor space for the bench at one end.,See Recommendation,,,,"$1,840.00",,"ADA 206, 305, 903.2 ,  CA 11B-206, 305, 903.2",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,39.147219194733,-121.068531274796,
